TypeInput	RA	DE	Plx	e_Plx	RV	e_RV	RVdist	pmRA	e_pmRA	pmDE	e_pmDE	Source
1	05 22 11.082	43 06 17.546	0.28586831	0.0181	0	0	0	0.535	0.022	-0.063	0.017	207322611162841728
1	05 28 26.166	42 50 47.546	0.31535599	0.0184	0	0	0	1.023	0.021	-0.875	0.016	195467054018080768
1	05 24 05.153	43 29 27.689	0.25077466	0.0172	0	0	0	4.568	0.019	-2.378	0.016	207368515772979968
1	05 30 26.608	42 25 58.897	0.30753417	0.0179	0	0	0	0.522	0.022	-1.642	0.014	194637098835987584
1	05 24 55.636	42 07 05.687	0.30741687	0.0178	0	0	0	0.062	0.022	-2.028	0.016	195037110613776128
1	05 30 46.520	43 20 57.213	0.30909074	0.0229	0	0	0	0.510	0.019	-1.904	0.016	195483928948041856
1	05 24 12.210	42 42 23.813	0.23545637	0.0153	0	0	0	0.370	0.020	-0.275	0.016	195260036594937728
1	05 24 59.808	42 14 59.823	0.24576172	0.0162	0	0	0	0.729	0.019	-1.655	0.014	195042131431935232
1	05 24 22.082	42 50 31.657	0.28315599	0.0169	0	0	0	0.170	0.021	-0.799	0.015	195270447594792704
1	05 29 13.632	43 24 34.322	0.25225704	0.0165	0	0	0	0.636	0.022	-0.105	0.017	195680977748754176
1	05 24 21.203	42 26 30.061	0.33005593	0.0155	0	0	0	0.591	0.020	-1.412	0.014	195241349196101248
1	05 23 30.010	42 54 06.218	0.21903104	0.0181	0	0	0	1.372	0.024	-0.244	0.017	195316249125728640
1	05 27 33.746	42 51 16.643	0.26208476	0.0171	0	0	0	0.018	0.022	-1.673	0.016	195446648632058112
1	05 30 14.020	43 36 36.504	0.21899534	0.0168	0	0	0	0.692	0.020	-0.467	0.016	195690357957350784
1	05 28 43.262	42 35 19.810	0.30341826	0.0174	0	0	0	1.894	0.022	-1.982	0.016	195401942314722560
1	05 24 21.834	42 14 24.960	0.26484246	0.0172	0	0	0	0.970	0.021	-1.728	0.015	195048453623838080
1	05 27 03.085	42 22 05.662	0.22105490	0.0186	0	0	0	0.260	0.026	-0.558	0.017	195369854617572480
1	05 26 58.006	43 19 15.774	0.27318395	0.0180	0	0	0	0.348	0.019	-1.471	0.015	195705617979457792
1	05 22 41.243	43 34 59.372	0.26346237	0.0166	0	0	0	0.597	0.020	-1.320	0.015	207414008066639488
1	05 24 39.849	43 50 02.459	0.28006445	0.0192	0	0	0	0.307	0.025	-4.603	0.019	207424556506097152
1	05 30 48.425	42 37 23.060	0.29887280	0.0170	0	0	0	0.724	0.019	-0.621	0.014	195391290796584960
1	05 22 39.926	43 09 53.560	0.28832689	0.0208	0	0	0	0.528	0.020	-0.972	0.016	207346315084389888
1	05 21 27.843	43 05 39.220	0.28910110	0.0180	0	0	0	0.511	0.021	-0.393	0.015	207333537559699712
1	05 30 07.700	42 17 16.989	0.28920294	0.0176	0	0	0	0.714	0.021	-0.705	0.016	194626653475544320
1	05 23 22.944	42 22 13.431	0.31789269	0.0175	0	0	0	0.143	0.022	-1.522	0.017	195242654866198528
1	05 28 02.273	42 38 11.068	0.25729199	0.0193	0	0	0	2.025	0.021	-1.091	0.016	195426582545397248
1	05 30 53.291	42 36 51.727	0.22542973	0.0167	0	0	0	0.326	0.019	-0.357	0.014	195391226374425216
1	05 28 56.315	42 52 41.978	0.33141770	0.0183	0	0	0	0.942	0.020	-2.368	0.015	195455616523724288
1	05 24 38.907	43 41 03.337	0.32358965	0.0177	0	0	0	0.937	0.021	-1.918	0.016	207375112842633216
1	05 24 29.994	43 43 51.554	0.29307854	0.0199	0	0	0	1.268	0.024	-1.451	0.019	207376040556405248
1	05 29 20.043	43 37 36.616	0.29336675	0.0173	0	0	0	-0.165	0.020	-1.528	0.016	195733861684157184
1	05 24 28.569	42 24 29.923	0.28863635	0.0161	0	0	0	0.523	0.019	-0.003	0.016	195059208221882752
1	05 25 37.759	42 12 42.639	0.24861649	0.0172	0	0	0	1.263	0.021	-0.846	0.017	195039623171457152
1	05 27 10.958	43 11 15.447	0.32679686	0.0160	0	0	0	-0.212	0.019	-1.209	0.014	195656513615049728
1	05 27 45.160	43 38 52.298	0.31374947	0.0190	0	0	0	1.549	0.022	-3.676	0.016	195725924584676224
1	05 26 42.892	43 04 43.901	0.26457908	0.0166	0	0	0	0.759	0.021	0.025	0.015	195646965906184448
